transectstation,percent,substrate,station,transect,,
5_PLF,52.63,dc,PLF,5,,
5_R10,27.27,dc,R10,5,,
5_R18,22.73,dc,R18,5,,
5_R25,20.75,dc,R25,5,,
5_R29,34.78,dc,R29,5,,
5_R41,2.56,dc,R41,5,,
5_R5,62.16,dc,R5,5,,
5_yc1,46.51,dc,yc1,5,,
5_yc2,38.24,dc,yc2,5,,
1_HE,0.00,mcap,HE,1,,
1_PLF,0.00,mcap,PLF,1,,
1_R10,0.00,mcap,R10,1,,
1_R18,0.00,mcap,R18,1,,
1_R25,0.00,mcap,R25,1,,
1_R29,0.00,mcap,R29,1,,
1_R41,0.00,mcap,R41,1,,
1_R5,0.00,mcap,R5,1,,
1_yc1,0.00,mcap,yc1,1,,
1_yc2,3.57,mcap,yc2,1,,
2_HE,4.55,mcap,HE,2,,
2_PLF,0.00,mcap,PLF,2,,
2_R10,0.00,mcap,R10,2,,
2_R18,0.00,mcap,R18,2,,
2_R25,0.00,mcap,R25,2,,
2_R29,0.00,mcap,R29,2,,
2_R41,2.33,mcap,R41,2,,
2_R5,0.00,mcap,R5,2,,
2_yc1,1.45,mcap,yc1,2,,
2_yc2,0.00,mcap,yc2,2,,
3_HE,0.00,mcap,HE,3,,
3_PLF,3.45,mcap,PLF,3,,
3_R10,0.00,mcap,R10,3,,
3_R18,2.86,mcap,R18,3,,
3_R25,0.00,mcap,R25,3,,
3_R29,0.00,mcap,R29,3,,
3_R41,0.00,mcap,R41,3,,
3_R5,2.63,mcap,R5,3,,
3_yc1,3.85,mcap,yc1,3,,
3_yc2,0.00,mcap,yc2,3,,
4_HE,4.00,mcap,HE,4,,
4_PLF,0.00,mcap,PLF,4,,
4_R10,3.85,mcap,R10,4,,
4_R18,0.00,mcap,R18,4,,
4_R25,0.00,mcap,R25,4,,
4_R29,0.00,mcap,R29,4,,
4_R41,0.00,mcap,R41,4,,
4_R5,3.33,mcap,R5,4,,
4_yc1,0.00,mcap,yc1,4,,
4_yc2,0.00,mcap,yc2,4,,
5_HE,0.00,mcap,HE,5,,
5_PLF,2.63,mcap,PLF,5,,
5_R10,0.00,mcap,R10,5,,
5_R18,0.00,mcap,R18,5,,
5_R25,0.00,mcap,R25,5,,
5_R29,0.00,mcap,R29,5,,
5_R41,0.00,mcap,R41,5,,
5_R5,0.00,mcap,R5,5,,
5_yc1,1.16,mcap,yc1,5,,
5_yc2,0.00,mcap,yc2,5,,
1_HE,42.86,pcom,HE,1,,
1_PLF,13.21,pcom,PLF,1,,
1_R10,48.00,pcom,R10,1,,
1_R18,41.67,pcom,R18,1,,
1_R25,59.09,pcom,R25,1,,
1_R29,78.57,pcom,R29,1,,
1_R41,41.03,pcom,R41,1,,
1_R5,20.00,pcom,R5,1,,
1_yc1,6.67,pcom,yc1,1,,
1_yc2,28.57,pcom,yc2,1,,
2_HE,27.27,pcom,HE,2,,
2_PLF,6.06,pcom,PLF,2,,
2_R10,44.44,pcom,R10,2,,
2_R18,42.31,pcom,R18,2,,
2_R25,59.26,pcom,R25,2,,
2_R29,54.55,pcom,R29,2,,
2_R41,58.14,pcom,R41,2,,
2_R5,16.00,pcom,R5,2,,
2_yc1,4.35,pcom,yc1,2,,
2_yc2,13.04,pcom,yc2,2,,
3_HE,50.00,pcom,HE,3,,
3_PLF,6.90,pcom,PLF,3,,
3_R10,24.32,pcom,R10,3,,
3_R18,34.29,pcom,R18,3,,
3_R25,60.66,pcom,R25,3,,
3_R29,48.57,pcom,R29,3,,
3_R41,57.35,pcom,R41,3,,
3_R5,15.79,pcom,R5,3,,
3_yc1,15.38,pcom,yc1,3,,
3_yc2,18.92,pcom,yc2,3,,
4_HE,28.00,pcom,HE,4,,
4_PLF,7.14,pcom,PLF,4,,
4_R10,11.54,pcom,R10,4,,
4_R18,48.00,pcom,R18,4,,
4_R25,59.68,pcom,R25,4,,
4_R29,57.89,pcom,R29,4,,
4_R41,34.78,pcom,R41,4,,
4_R5,10.00,pcom,R5,4,,
4_yc1,34.62,pcom,yc1,4,,
4_yc2,13.64,pcom,yc2,4,,
5_HE,32.14,pcom,HE,5,,
5_PLF,7.89,pcom,PLF,5,,
5_R10,40.91,pcom,R10,5,,
5_R18,72.73,pcom,R18,5,,
5_R25,41.51,pcom,R25,5,,
5_R29,56.52,pcom,R29,5,,
5_R41,53.85,pcom,R41,5,,
5_R5,29.73,pcom,R5,5,,
5_yc1,26.74,pcom,yc1,5,,
5_yc2,20.59,pcom,yc2,5,,
1_HE,0.00,mol,HE,1,,
1_PLF,0.00,mol,PLF,1,,
1_R10,0.00,mol,R10,1,,
1_R18,0.00,mol,R18,1,,
1_R25,0.00,mol,R25,1,,
1_R29,0.00,mol,R29,1,,
1_R41,0.00,mol,R41,1,,
1_R5,0.00,mol,R5,1,,
1_yc1,0.00,mol,yc1,1,,
1_yc2,0.00,mol,yc2,1,,
2_HE,0.00,mol,HE,2,,
2_PLF,0.00,mol,PLF,2,,
2_R10,0.00,mol,R10,2,,
2_R18,0.00,mol,R18,2,,
2_R25,4.94,mol,R25,2,,
2_R29,0.00,mol,R29,2,,
2_R41,0.00,mol,R41,2,,
2_R5,0.00,mol,R5,2,,
2_yc1,0.00,mol,yc1,2,,
2_yc2,0.00,mol,yc2,2,,
3_HE,0.00,mol,HE,3,,
3_PLF,0.00,mol,PLF,3,,
3_R10,0.00,mol,R10,3,,
3_R18,0.00,mol,R18,3,,
3_R25,1.64,mol,R25,3,,
3_R29,0.00,mol,R29,3,,
3_R41,0.00,mol,R41,3,,
3_R5,0.00,mol,R5,3,,
3_yc1,0.00,mol,yc1,3,,
3_yc2,0.00,mol,yc2,3,,
4_HE,0.00,mol,HE,4,,
4_PLF,0.00,mol,PLF,4,,
4_R10,0.00,mol,R10,4,,
4_R18,0.00,mol,R18,4,,
4_R25,0.00,mol,R25,4,,
4_R29,0.00,mol,R29,4,,
4_R41,0.00,mol,R41,4,,
4_R5,0.00,mol,R5,4,,
4_yc1,0.00,mol,yc1,4,,
4_yc2,0.00,mol,yc2,4,,
5_HE,0.00,mol,HE,5,,
5_PLF,0.00,mol,PLF,5,,
5_R10,0.00,mol,R10,5,,
5_R18,0.00,mol,R18,5,,
5_R25,7.55,mol,R25,5,,
5_R29,0.00,mol,R29,5,,
5_R41,0.00,mol,R41,5,,
5_R5,0.00,mol,R5,5,,
5_yc1,0.00,mol,yc1,5,,
5_yc2,0.00,mol,yc2,5,,
1_HE,7.14,cca,HE,1,,
1_PLF,0.00,cca,PLF,1,,
1_R10,0.00,cca,R10,1,,
1_R18,0.00,cca,R18,1,,
1_R25,9.09,cca,R25,1,,
1_R29,17.86,cca,R29,1,,
1_R41,25.64,cca,R41,1,,
1_R5,0.00,cca,R5,1,,
1_yc1,0.00,cca,yc1,1,,
1_yc2,0.00,cca,yc2,1,,
2_HE,0.00,cca,HE,2,,
2_PLF,0.00,cca,PLF,2,,
2_R10,0.00,cca,R10,2,,
2_R18,0.00,cca,R18,2,,
2_R25,19.75,cca,R25,2,,
2_R29,31.82,cca,R29,2,,
2_R41,20.93,cca,R41,2,,
2_R5,0.00,cca,R5,2,,
2_yc1,0.00,cca,yc1,2,,
2_yc2,0.00,cca,yc2,2,,
3_HE,0.00,cca,HE,3,,
3_PLF,0.00,cca,PLF,3,,
3_R10,0.00,cca,R10,3,,
3_R18,0.00,cca,R18,3,,
3_R25,14.75,cca,R25,3,,
3_R29,14.29,cca,R29,3,,
3_R41,20.59,cca,R41,3,,
3_R5,0.00,cca,R5,3,,
3_yc1,0.00,cca,yc1,3,,
3_yc2,2.70,cca,yc2,3,,
4_HE,0.00,cca,HE,4,,
4_PLF,0.00,cca,PLF,4,,
4_R10,0.00,cca,R10,4,,
4_R18,0.00,cca,R18,4,,
4_R25,16.13,cca,R25,4,,
4_R29,26.32,cca,R29,4,,
4_R41,56.52,cca,R41,4,,
4_R5,0.00,cca,R5,4,,
4_yc1,0.00,cca,yc1,4,,
4_yc2,4.55,cca,yc2,4,,
5_HE,0.00,cca,HE,5,,
5_PLF,0.00,cca,PLF,5,,
5_R10,0.00,cca,R10,5,,
5_R18,0.00,cca,R18,5,,
5_R25,30.19,cca,R25,5,,
5_R29,0.00,cca,R29,5,,
5_R41,43.59,cca,R41,5,,
5_R5,0.00,cca,R5,5,,
5_yc1,0.00,cca,yc1,5,,
5_yc2,0.00,cca,yc2,5,,
